Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
15,University of Michigan-Ann Arbor,Solomon Adera,Assistant Professor,"Heat and mass transfer, phase-change, water/fog harvesting, micro/nanoengineering, fluid-structure interactions",,,,,,,
15,University of Michigan-Ann Arbor,Alauddin Ahmed,Associate Research Scientist,"Energy storage, battery materials, applied machine learning, materials design",,,,,,,
15,University of Michigan-Ann Arbor,Rayhaneh Akhavan,Associate Professor,"Fluid mechanics, turbulence modeling, biomimetic flow control",,,,,,,
15,University of Michigan-Ann Arbor,Mitra Aliabouzar,Assistant Research Scientist,"Cavitation therapy, mechanics of soft materials, 3D bioprinting",,,,,,,
15,University of Michigan-Ann Arbor,John Allison,Professor,"Processing, alloying, microstructure and properties in metallic materials",,,,,,,
15,University of Michigan-Ann Arbor,Ellen Arruda,Department Chair,"Mechanical behavior of materials, tissue engineering, polymers",,,,,,,
15,University of Michigan-Ann Arbor,James Ashton-Miller,Research Professor,"Biomechanics, mobility impairments, injury prevention",,,,,,,
15,University of Michigan-Ann Arbor,Shorya Awtar,Professor,"Mechanical design, robotics, mechatronic systems",,,,,,,
15,University of Michigan-Ann Arbor,Rohini Bala Chandran,Assistant Professor,"Thermal and fluid sciences, radiative heat transfer",,,,,,,
15,University of Michigan-Ann Arbor,Mihaela Banu,Professor,"Lightweight materials, micro/nanocellulose composites",,,,,,,
15,University of Michigan-Ann Arbor,James Barber,Professor,"Solid mechanics, elasticity, tribology",,,,,,,
15,University of Michigan-Ann Arbor,Kira Barton,Professor,"Control theory, smart manufacturing, robotics",,,,,,,
15,University of Michigan-Ann Arbor,Michael Bernitsas,Professor,"Energy conversion, vortex-induced vibration",,,,,,,
15,University of Michigan-Ann Arbor,Andre Boehman,Professor,"Automotive engineering, energy sciences",,,,,,,
15,University of Michigan-Ann Arbor,Claus Borgnakke,Associate Professor Emeritus,"Combustion modeling, thermodynamic properties",,,,,,,
15,University of Michigan-Ann Arbor,Diann Brei,Professor,"Smart materials, structural dynamics",,,,,,,
15,University of Michigan-Ann Arbor,Daniel Bruder,Assistant Professor,"Soft robotic systems, modeling and control",,,,,,,
15,University of Michigan-Ann Arbor,Ashley Bucsek,Assistant Professor,"Mechanical behavior of materials, lightweight metals",,,,,,,
15,University of Michigan-Ann Arbor,Jesse Capecelatro,Associate Professor,"Fluid mechanics, turbulence, renewable energy",,,,,,,
15,University of Michigan-Ann Arbor,Steve Ceccio,Professor,"Fluid mechanics, multiphase flows, cavitation",,,,,,,
15,University of Michigan-Ann Arbor,Erin Cech,Associate Professor,"Gender and sexuality, sociology of culture",,,,,,,
15,University of Michigan-Ann Arbor,Michael Chen,Professor Emeritus,"Heat transfer, fluid mechanics",,,,,,,
15,University of Michigan-Ann Arbor,David Cole,Associate Professor Emeritus,"Industry restructuring, globalization",,,,,,,
15,University of Michigan-Ann Arbor,Rhima Coleman,Associate Professor,"Cartilage tissue regeneration, cell behavior manipulation",,,,,,,
