Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
15,University of Michigan-Ann Arbor,Solomon Adera,"Assistant Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Alauddin Ahmed,"Associate Research Scientist, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Rayhaneh Akhavan,"Associate Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Mitra Aliabouzar,"Assistant Research Scientist, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,John Allison,"Professor, Mechanical Engineering; Professor, Materials Science and Engineering; William F. Hosford Professor of Materials Science and Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Ellen Arruda,"Tim Manganello/BorgWarner Department Chair, Mechanical Engineering; Professor, Mechanical Engineering; Professor, Biomedical Engineering; Professor, Program in Macromolecular Science and Engineering; Maria Comninou Collegiate Professor of Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,James Ashton-Miller,"Research Professor, Mechanical Engineering; Albert Schultz Collegiate Research Professor & Distinguished Research Scientist; Associate Vice President - Research Policy and Compliance, OVPR; Director, Biomechanics Research Laboratory  ",,,,,,,,
15,University of Michigan-Ann Arbor,Shorya Awtar,"Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Rohini Bala Chandran,"Assistant Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Mihaela Banu,"Professor, Mechanical Engineering; OVPR Collegiate Research Professor; ISD Faculty Director  ",,,,,,,,
15,University of Michigan-Ann Arbor,James Barber,"Professor, Mechanical Engineering; Arthur F. Thurnau Professor, Mechanical Engineering; Jon R. & Beverly S. Holt Professor, College of Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Kira Barton,"Professor, Mechanical Engineering; Professor, Robotics; Miller Faculty Scholar  ",,,,,,,,
15,University of Michigan-Ann Arbor,Michael Bernitsas,"Professor, Mechanical Engineering; Mortimer E Cooley Collegiate Professor, Naval Architecture & Marine Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Andre Boehman,"Professor, Mechanical Engineering; Vennema Professor of Engineering; Director, W.E. Lay Automotive Laboratory  ",,,,,,,,
15,University of Michigan-Ann Arbor,Claus Borgnakke,"Associate Professor Emeritus, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Diann Brei,"Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Daniel Bruder,"Assistant Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Ashley Bucsek,"Assistant Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Jesse Capecelatro,"Associate Professor, Mechanical Engineering; Associate Professor, Aerospace Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Steve Ceccio,"Professor, Mechanical Engineering; Professor, Naval Architecture & Marine Engineering; Vincent T and Gloria M Gorguze Professor of Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Erin Cech,"Associate Professor, Mechanical Engineering; Associate Professor, Sociology  ",,,,,,,,
15,University of Michigan-Ann Arbor,Michael Chen,"Professor Emeritus, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,David Cole,"Associate Professor Emeritus, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Rhima Coleman,"Associate Professor, Mechanical Engineering; Associate Professor, Biomedical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Maria Comninou,"Professor Emerita, Theoretical and Applied Mechanics; Professor Emerita, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Daniel Cooper,"Associate Professor, Mechanical Engineering; Associate Professor, Integrative Systems and Design  ",,,,,,,,
15,University of Michigan-Ann Arbor,Shanna Daly,"Associate Professor, Mechanical Engineering; Miller Faculty Scholar; Arthur F. Thurnau Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Sambit Das,"Assistant Research Scientist, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Neil Dasgupta,"Associate Professor, Mechanical Engineering; Associate Professor, Materials Science and Engineering; Miller Faculty Scholar  ",,,,,,,,
15,University of Michigan-Ann Arbor,Cheri Deng,"Professor, Mechanical Engineering; Professor, Biomedical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Pingsha Dong,"Professor, Mechanical Engineering; Professor, Naval Architecture and Marine Engineering; Director, Welded Structures Laboratory  ",,,,,,,,
15,University of Michigan-Ann Arbor,David Dowling,"Professor, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Karthik Duraisamy,"Professor, Mechanical Engineering; Professor, Aerospace Engineering; Associate Director of Michigan Institute for Computational Discovery and Engineering (MICDE)  ",,,,,,,,
15,University of Michigan-Ann Arbor,Paolo Elvati,"Associate Research Scientist, Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Bogdan Epureanu,"Professor, Mechanical Engineering; Roger L. McCarthy Professor of Mechanical Engineering; Arthur F. Thurnau Professor, Mechanical Engineering; Director, Automotive Research Center  ",,,,,,,,
15,University of Michigan-Ann Arbor,Martin Erinin,"Assistant Professor (Joining January 2025), Mechanical Engineering  ",,,,,,,,
15,University of Michigan-Ann Arbor,Tulga Ersal,"Associate Professor, Mechanical Engineering  ",,,,,,,,
