Rank,University,Faculty,Title,Research,Website,Email,Status,is_chinese,send_priority,full_research,publications
18,EPFL,BILLARD Aude,None,Learning algorithms and systems Laboratory,,,,,,,
18,EPFL,BRIAND Danick,None,Soft Transducers Lab,,,,,,,
18,EPFL,FARHAT Mohamed,None,SCI STI MF Group,,,,,,,
18,EPFL,FERRARI TRECATE Giancarlo,None,Dependable Control and Decision group,,,,,,,
18,EPFL,FLOREANO Dario,None,Laboratory of Intelligent Systems,,,,,,,
18,EPFL,GALLAIRE François,None,Laboratory of Fluid Mechanics and Instabilities,,,,,,,
18,EPFL,GASS Volker,None,Space Innovation,,,,,,,
18,EPFL,HAUSSENER Sophia,None,Laboratory of Renewable Energy Science and Engineering,,,,,,,
18,EPFL,HENEIN Simon,None,Micromechanical and Horological Design Laboratory,,,,,,,
18,EPFL,HUGHES Josie,None,Computational Robot Design & Fabrication Lab,,,,,,,
18,EPFL,IJSPEERT Auke,None,Biorobotics Laboratory,,,,,,,
18,EPFL,JONES Colin,None,Automatic Control Laboratory 3,,,,,,,
18,EPFL,KAMGARPOUR Maryam,None,Systems Control and Multiagent Optimization Research,,,,,,,
18,EPFL,KARIMI Alireza,None,Data-Driven Modelling and Control Group,,,,,,,
18,EPFL,KIM Sangwoo,None,Mechanics of Soft and Biological Matter Laboratory,,,,,,,
18,EPFL,KOLINSKI John Martin,None,Engineering Mechanics of Soft lnterfaces,,,,,,,
18,EPFL,LU Zhengmao,None,Energy Transport Advances Laboratory,,,,,,,
18,EPFL,MARÉCHAL François,None,Industrial Process and Energy Systems Engineering,,,,,,,
18,EPFL,MULLENERS Karen,None,Unsteady Flow Diagnostics Laboratory,,,,,,,
18,EPFL,PAIK Jamie,None,Reconfigurable Robotics Lab,,,,,,,
18,EPFL,PIOLETTI Dominique,None,Laboratory of Biomechanical Orthopedics,,,,,,,
18,EPFL,REIS Pedro M.,None,Flexible Structures Laboratory,,,,,,,
18,EPFL,SAKAR Selman,None,MicroBioRobotic Systems Laboratory,,,,,,,
18,EPFL,SCHIFFMANN Jürg Alexander,None,Laboratory for Applied Mechanical Design,,,,,,,
18,EPFL,SCHNEIDER Tobias,None,Emergent Complexity in Physical Systems Laboratory,,,,,,,
18,EPFL,SHEA Herbert,None,Soft Transducers Laboratory,,,,,,,
18,EPFL,TAGLIABUE Giulia,None,Laboratory of Nanoscience for Energy Technologies,,,,,,,
18,EPFL,VAN HERLE Jan,None,Group of Energy Materials,,,,,,,
18,EPFL,VILLANUEVA Guillermo,None,Advanced Nano-electromechanical Systems Laboratory,,,,,,,
18,EPFL,YIM Eunok,None,Hydro Energy and Applied fluid Dynamics laboratory,,,,,,,
